time	open	high	low	close	tick_volume	spread	real_volume	short_ma	long_ma	signal
2020-05-05 12:00:00	1699.72	1700.64	1694.6	1695.67	11865	18	0			0
2020-05-05 16:00:00	1695.68	1705.31	1693.28	1702.32	38729	18	0			0
2020-05-05 20:00:00	1702.41	1712.04	1701.35	1704.71	22927	18	0			0
2020-05-06 00:00:00	1704.51	1706.27	1700.61	1701.59	3273	27	0			0
2020-05-06 04:00:00	1701.66	1707.59	1700.55	1702.93	6814	18	0			0
2020-05-06 08:00:00	1702.93	1708.06	1700.4	1703.67	12971	18	0			0
2020-05-06 12:00:00	1703.99	1705.22	1694.03	1696.74	13769	18	0			0
2020-05-06 16:00:00	1696.73	1698.04	1681.14	1686.4	32054	18	0			0
2020-05-06 20:00:00	1686.4	1690.97	1682.8	1685.19	17197	18	0			0
2020-05-07 00:00:00	1685.19	1693.77	1684.14	1692.65	4416	21	0	1697.187		0
2020-05-07 04:00:00	1692.65	1693.64	1689.59	1691.73	4361	18	0	1696.7930000000001		-1
2020-05-07 08:00:00	1691.46	1693.5	1684.32	1691.35	12131	18	0	1695.696		-1
2020-05-07 12:00:00	1691.33	1699.54	1690.61	1697.83	13511	18	0	1695.0079999999998		-1
2020-05-07 16:00:00	1697.92	1716.3	1693.61	1715.45	33625	18	0	1696.3939999999998		-1
2020-05-07 20:00:00	1715.53	1722.01	1713.35	1715.25	24989	18	0	1697.6260000000002		-1
2020-05-08 00:00:00	1715.52	1716.58	1710.8	1714.16	4620	18	0	1698.675		-1
2020-05-08 04:00:00	1714.82	1720.72	1713.47	1715.42	7267	18	0	1700.5430000000001		-1
2020-05-08 08:00:00	1715.63	1721.51	1714.6	1719.7	18509	18	0	1703.873		-1
2020-05-08 12:00:00	1719.72	1723.6	1705.99	1711.8	28028	18	0	1706.534		-1
2020-05-08 16:00:00	1711.86	1721.62	1708.08	1709.89	35621	18	0	1708.2579999999998		-1
2020-05-08 20:00:00	1709.97	1711.29	1701.09	1702.09	18295	18	0	1709.2939999999999		-1
2020-05-11 00:00:00	1702.38	1707.77	1701.6	1704.18	4983	18	0	1710.577		-1
2020-05-11 04:00:00	1703.72	1711.8	1702.41	1705.4	7576	19	0	1711.334		-1
2020-05-11 08:00:00	1705.64	1709.4	1701.83	1703.87	20628	18	0	1710.1760000000002		-1
2020-05-11 12:00:00	1703.78	1707.88	1693.73	1705.51	30424	18	0	1709.202		-1
